,text,review,polarity_score,polarity
0,siruh mentri kesehatan yang disuntik,"['siruh', 'mentri', 'kesehatan', 'yang', 'disuntik']",-5,negatif
1,sudah susah rakyat cari uang rakyat dipaksa untuk bayar lagi menteri kesehatan seorang bisnis rakyat mau dibisniskan mari kita demo besar besaran pecat mentri kesehatan,"['sudah', 'susah', 'rakyat', 'cari', 'uang', 'rakyat', 'dipaksa', 'untuk', 'bayar', 'lagi', 'menteri', 'kesehatan', 'seorang', 'bisnis', 'rakyat', 'mau', 'dibisniskan', 'mari', 'kita', 'demo', 'besar', 'besaran', 'pecat', 'mentri', 'kesehatan']",-10,negatif
2,sekalian giga bass,"['sekalian', 'giga', 'bass']",0,positif
3,vaksinnya bisa expired tapi otak manusia masih enggak bisa berpikir apakah tujuan ini semua,"['vaksinnya', 'bisa', 'expired', 'tapi', 'otak', 'manusia', 'masih', 'enggak', 'bisa', 'berpikir', 'apakah', 'tujuan', 'ini', 'semua']",0,positif
4,kalau dari awal tidak jujur sampai akir tetap bohong semoga allah cepat turunkan azab yang pedih amin,"['kalau', 'dari', 'awal', 'tidak', 'jujur', 'sampai', 'akir', 'tetap', 'bohong', 'semoga', 'allah', 'cepat', 'turunkan', 'azab', 'yang', 'pedih', 'amin']",-19,negatif
5,setelah vaksin boster lanjut nya vaksin power super keluar tojos teroos tojos,"['setelah', 'vaksin', 'boster', 'lanjut', 'nya', 'vaksin', 'power', 'super', 'keluar', 'tojos', 'teroos', 'tojos']",-5,negatif
6,setelah booster monster,"['setelah', 'booster', 'monster']",0,positif
7,sgra tampak kan robb kami yang benar itu benar yang salah itu salah kpdamu lah kami mnyembah kpda mu lah kami memohon pertolongan kalau allah yang maha segala nya saja tidak mngabul kan permohonan kami kemana lagi kami harus memohon pertolongan kami sngat terjolimi dengan ada nya paksa an vaksin seban kalo tidak vsksin anak kami tidak bisa berskolah dan kami tidak bisa bepergian mncari rejeku ke rantau orang pekerja an kami terhambat oleh keharusan vaksin tlong iya rib kami brkan kami se orang pemimpin dan smu stap nya orang terbaik mnurut pilihan mu bukan orang terbaik mnrut plhan kami karena kami tidak mngthui sgl nya tentang apa yang muka bumi ini yang baik mnurut mu bukan mnurut kami semoga allah mndngar kan doa kami dan mngabulkan nya amin amin amin ya robbal aalamiin,"['sgra', 'tampak', 'kan', 'robb', 'kami', 'yang', 'benar', 'itu', 'benar', 'yang', 'salah', 'itu', 'salah', 'kpdamu', 'lah', 'kami', 'mnyembah', 'kpda', 'mu', 'lah', 'kami', 'memohon', 'pertolongan', 'kalau', 'allah', 'yang', 'maha', 'segala', 'nya', 'saja', 'tidak', 'mngabul', 'kan', 'permohonan', 'kami', 'kemana', 'lagi', 'kami', 'harus', 'memohon', 'pertolongan', 'kami', 'sngat', 'terjolimi', 'dengan', 'ada', 'nya', 'paksa', 'an', 'vaksin', 'seban', 'kalo', 'tidak', 'vsksin', 'anak', 'kami', 'tidak', 'bisa', 'berskolah', 'dan', 'kami', 'tidak', 'bisa', 'bepergian', 'mncari', 'rejeku', 'ke', 'rantau', 'orang', 'pekerja', 'an', 'kami', 'terhambat', 'oleh', 'keharusan', 'vaksin', 'tlong', 'iya', 'rib', 'kami', 'brkan', 'kami', 'se', 'orang', 'pemimpin', 'dan', 'smu', 'stap', 'nya', 'orang', 'terbaik', 'mnurut', 'pilihan', 'mu', 'bukan', 'orang', 'terbaik', 'mnrut', 'plhan', 'kami', 'karena', 'kami', 'tidak', 'mngthui', 'sgl', 'nya', 'tentang', 'apa', 'yang', 'muka', 'bumi', 'ini', 'yang', 'baik', 'mnurut', 'mu', 'bukan', 'mnurut', 'kami', 'semoga', 'allah', 'mndngar', 'kan', 'doa', 'kami', 'dan', 'mngabulkan', 'nya', 'amin', 'amin', 'amin', 'ya', 'robbal', 'aalamiin']",-56,negatif
8,enggak vaksin enggak boleh kemana mana anak enggak boleh sekolah nasip,"['enggak', 'vaksin', 'enggak', 'boleh', 'kemana', 'mana', 'anak', 'enggak', 'boleh', 'sekolah', 'nasip']",4,positif
9,alhamdulillah sampai saat ini saya tetap sehat meski tidak di vaksin,"['alhamdulillah', 'sampai', 'saat', 'ini', 'saya', 'tetap', 'sehat', 'meski', 'tidak', 'di', 'vaksin']",-1,negatif
10,akhirnya jadi bisnis semoga kita di jauh dari penyakit ini dan yakin allah maha tahu akan keadaan hambanya,"['akhirnya', 'jadi', 'bisnis', 'semoga', 'kita', 'di', 'jauh', 'dari', 'penyakit', 'ini', 'dan', 'yakin', 'allah', 'maha', 'tahu', 'akan', 'keadaan', 'hambanya']",3,positif
